C1V,C2V,C3V,C4V,C5V,C6V,C7V,C8V,C9V,C10V,C11V,C12V,C13V,C14V,C15V,C16V,AC1V,AC2V,AC3V,AC4V,AC5V,AC6V,AC7V,AC8V,AC9V,AC10V,AC11V,AC12V,AC13V,AC14V,AC15V,AC16V,FC1V,FC2V,FC3V,FC4V,FC5V,FC6V,FC7V,FC8V,FC9V,FC10V,FC11V,FC12V,FC13V,FC14V,FC15V,FC16V,S1V,S2V,S3V,S4V,S5V,S6V,S7V,S8V,S9V,S10V,S11V,S12V,S13V,S14V,S15V,S16V
1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998
1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998
1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998
1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998
1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998
1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998
1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998
1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998
1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998
1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998
1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998
1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998
1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998
1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998
1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998
1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998
1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998
1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998
1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998
1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998
1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998
1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998
1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998
1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998
1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998
1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998
1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998
1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998
1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998
1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998
1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998,1.4998
